,city,state_id,lng,lat,Location
0,New York,NY,-73.9249,40.6943,"New York, NY"
1,Los Angeles,CA,-118.4068,34.1139,"Los Angeles, CA"
2,Chicago,IL,-87.6862,41.8373,"Chicago, IL"
3,Miami,FL,-80.2102,25.7839,"Miami, FL"
4,Dallas,TX,-96.7662,32.7936,"Dallas, TX"
5,Philadelphia,PA,-75.1339,40.0077,"Philadelphia, PA"
6,Houston,TX,-95.3889,29.7863,"Houston, TX"
7,Atlanta,GA,-84.4224,33.7627,"Atlanta, GA"
8,Washington,DC,-77.0163,38.9047,"Washington, DC"
9,Boston,MA,-71.0846,42.3188,"Boston, MA"
10,Phoenix,AZ,-112.0891,33.5722,"Phoenix, AZ"
11,Seattle,WA,-122.3244,47.6211,"Seattle, WA"
12,San Francisco,CA,-122.443,37.7562,"San Francisco, CA"
13,Detroit,MI,-83.1024,42.3834,"Detroit, MI"
14,San Diego,CA,-117.1225,32.8312,"San Diego, CA"
15,Minneapolis,MN,-93.2678,44.9635,"Minneapolis, MN"
16,Tampa,FL,-82.4451,27.9942,"Tampa, FL"
17,Denver,CO,-104.8759,39.7621,"Denver, CO"
18,Brooklyn,NY,-73.9496,40.6501,"Brooklyn, NY"
19,Queens,NY,-73.7976,40.7498,"Queens, NY"
20,Riverside,CA,-117.3948,33.9381,"Riverside, CA"
21,Baltimore,MD,-76.6144,39.3051,"Baltimore, MD"
22,Las Vegas,NV,-115.2654,36.2333,"Las Vegas, NV"
23,Portland,OR,-122.65,45.5372,"Portland, OR"
24,San Antonio,TX,-98.5253,29.4658,"San Antonio, TX"
25,St. Louis,MO,-90.2451,38.6358,"St. Louis, MO"
26,Sacramento,CA,-121.4683,38.5667,"Sacramento, CA"
27,Orlando,FL,-81.3369,28.4772,"Orlando, FL"
28,San Jose,CA,-121.8486,37.3019,"San Jose, CA"
29,Cleveland,OH,-81.6804,41.4767,"Cleveland, OH"
30,Pittsburgh,PA,-79.9762,40.4396,"Pittsburgh, PA"
31,Austin,TX,-97.7522,30.3004,"Austin, TX"
32,Cincinnati,OH,-84.5061,39.1413,"Cincinnati, OH"
33,Kansas City,MO,-94.5541,39.1239,"Kansas City, MO"
34,Manhattan,NY,-73.9662,40.7834,"Manhattan, NY"
35,Indianapolis,IN,-86.1458,39.7771,"Indianapolis, IN"
36,Columbus,OH,-82.985,39.9862,"Columbus, OH"
37,Charlotte,NC,-80.8304,35.208,"Charlotte, NC"
38,Virginia Beach,VA,-76.0435,36.7335,"Virginia Beach, VA"
39,Bronx,NY,-73.8662,40.8501,"Bronx, NY"
40,Milwaukee,WI,-87.9673,43.0642,"Milwaukee, WI"
41,Providence,RI,-71.4187,41.823,"Providence, RI"
42,Jacksonville,FL,-81.6749,30.3322,"Jacksonville, FL"
43,Salt Lake City,UT,-111.9306,40.7777,"Salt Lake City, UT"
44,Nashville,TN,-86.7843,36.1715,"Nashville, TN"
45,Richmond,VA,-77.4756,37.5295,"Richmond, VA"
46,Memphis,TN,-89.9773,35.1046,"Memphis, TN"
47,Raleigh,NC,-78.6435,35.8325,"Raleigh, NC"
48,New Orleans,LA,-89.9288,30.0687,"New Orleans, LA"
49,Louisville,KY,-85.6485,38.1663,"Louisville, KY"
50,Oklahoma City,OK,-97.5136,35.4676,"Oklahoma City, OK"
51,Bridgeport,CT,-73.1953,41.1918,"Bridgeport, CT"
52,Buffalo,NY,-78.8487,42.9016,"Buffalo, NY"
53,Fort Worth,TX,-97.3473,32.7811,"Fort Worth, TX"
54,Hartford,CT,-72.6834,41.7661,"Hartford, CT"
55,Tucson,AZ,-110.8782,32.1545,"Tucson, AZ"
56,Omaha,NE,-96.0522,41.2627,"Omaha, NE"
57,El Paso,TX,-106.4309,31.8479,"El Paso, TX"
58,Honolulu,HI,-157.846,21.3294,"Honolulu, HI"
59,McAllen,TX,-98.2471,26.2273,"McAllen, TX"
60,Albuquerque,NM,-106.6464,35.1053,"Albuquerque, NM"
61,Birmingham,AL,-86.7987,33.5277,"Birmingham, AL"
62,Sarasota,FL,-82.5431,27.3386,"Sarasota, FL"
63,Dayton,OH,-84.1998,39.7797,"Dayton, OH"
64,Rochester,NY,-77.6162,43.168,"Rochester, NY"
65,Fresno,CA,-119.7941,36.7831,"Fresno, CA"
66,Allentown,PA,-75.4756,40.5961,"Allentown, PA"
67,Tulsa,OK,-95.9042,36.1284,"Tulsa, OK"
68,Cape Coral,FL,-81.9956,26.6446,"Cape Coral, FL"
69,Concord,CA,-122.0016,37.9722,"Concord, CA"
70,Colorado Springs,CO,-104.7606,38.8674,"Colorado Springs, CO"
71,Charleston,SC,-79.9628,32.8153,"Charleston, SC"
72,Springfield,MA,-72.5395,42.1155,"Springfield, MA"
73,Grand Rapids,MI,-85.6562,42.962,"Grand Rapids, MI"
74,Mission Viejo,CA,-117.655,33.6095,"Mission Viejo, CA"
75,Albany,NY,-73.7987,42.6664,"Albany, NY"
76,Knoxville,TN,-83.9496,35.9692,"Knoxville, TN"
77,Bakersfield,CA,-119.0359,35.3529,"Bakersfield, CA"
78,Ogden,UT,-111.9682,41.2278,"Ogden, UT"
79,Baton Rouge,LA,-91.131,30.4418,"Baton Rouge, LA"
80,Akron,OH,-81.5219,41.0798,"Akron, OH"
81,New Haven,CT,-72.9246,41.3112,"New Haven, CT"
82,Columbia,SC,-80.9037,34.0376,"Columbia, SC"
83,Mesa,AZ,-111.718,33.4017,"Mesa, AZ"
84,Palm Bay,FL,-80.6627,27.955,"Palm Bay, FL"
85,Provo,UT,-111.6457,40.2457,"Provo, UT"
86,Worcester,MA,-71.8079,42.2705,"Worcester, MA"
87,Murrieta,CA,-117.1909,33.572,"Murrieta, CA"
88,Greenville,SC,-82.3647,34.8353,"Greenville, SC"
89,Wichita,KS,-97.3442,37.6896,"Wichita, KS"
90,Toledo,OH,-83.5822,41.6639,"Toledo, OH"
91,Staten Island,NY,-74.1496,40.5834,"Staten Island, NY"
92,Des Moines,IA,-93.6105,41.5725,"Des Moines, IA"
93,Long Beach,CA,-118.1675,33.7981,"Long Beach, CA"
94,Port St. Lucie,FL,-80.3883,27.2796,"Port St. Lucie, FL"
95,Denton,TX,-97.1419,33.2176,"Denton, TX"
96,Madison,WI,-89.3931,43.0826,"Madison, WI"
97,Reno,NV,-119.8483,39.5497,"Reno, NV"
98,Harrisburg,PA,-76.8843,40.2752,"Harrisburg, PA"
99,Little Rock,AR,-92.3576,34.7256,"Little Rock, AR"
100,Oakland,CA,-122.2165,37.7903,"Oakland, CA"
101,Durham,NC,-78.9031,35.9794,"Durham, NC"
102,Winston-Salem,NC,-80.2611,36.1029,"Winston-Salem, NC"
103,Bonita Springs,FL,-81.7861,26.3559,"Bonita Springs, FL"
104,Indio,CA,-116.2346,33.7346,"Indio, CA"
105,Palm Coast,FL,-81.246,29.5392,"Palm Coast, FL"
106,Chattanooga,TN,-85.2488,35.0657,"Chattanooga, TN"
107,Spokane,WA,-117.433,47.6671,"Spokane, WA"
108,Syracuse,NY,-76.1438,43.0409,"Syracuse, NY"
109,Lancaster,PA,-76.3012,40.0421,"Lancaster, PA"
110,Arlington,TX,-97.125,32.6998,"Arlington, TX"
111,Stockton,CA,-121.3109,37.9765,"Stockton, CA"
112,Poughkeepsie,NY,-73.921,41.6949,"Poughkeepsie, NY"
113,Augusta,GA,-82.0708,33.3645,"Augusta, GA"
