,index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,avg_salary
0,0,Senior Data Scientist,$111K-$181K ,3.5,Hopper,"New York, NY","Montreal, Canada",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,146000.0
1,1,"Data Scientist, Product Analytics",$111K-$181K ,4.5,Noom US,"New York, NY","New York, NY",1001 to 5000 employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,146000.0
2,2,Data Science Manager,$111K-$181K ,NA,Decode_M,"New York, NY","New York, NY",1 to 50 employees,NA,Unknown,Not Specified,Not Specified,146000.0
3,3,Data Analyst,$111K-$181K ,3.4,Sapphire Digital,"Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,146000.0
4,4,"Director, Data Science",$111K-$181K ,3.4,United Entertainment Group,"New York, NY","New York, NY",51 to 200 employees,2007,Company - Private,Advertising & Marketing,Business Services,146000.0
5,5,Data Scientist,$111K-$181K ,2.9,IFG Companies,"New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,146000.0
6,6,Quantitative Researcher,$111K-$181K ,4.4,PDT Partners,"New York, NY","New York, NY",51 to 200 employees,1993,Company - Private,Investment Banking & Asset Management,Finance,146000.0
7,7,Quantitative Research Associate,$111K-$181K ,NA,Enlightenment Research,"New York, NY","New York, NY",1 to 50 employees,NA,Unknown,Not Specified,Not Specified,146000.0
8,8,AI Scientist,$111K-$181K ,5.0,Paige,"New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,146000.0
9,9,Quantitative Researcher,$111K-$181K ,4.8,Jane Street,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,146000.0
10,10,Data Scientist,$111K-$181K ,3.9,Quartet Health,"New York, NY","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,146000.0
11,11,Data Scientist/Machine Learning,$111K-$181K ,4.4,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,146000.0
12,12,"Data Scientist, Acorn AI Labs",$111K-$181K ,4.3,Medidata Solutions,"New York, NY","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,146000.0
13,13,Data Scientist,$111K-$181K ,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,146000.0
14,14,Data Scientist - Alpha Insights,$111K-$181K ,4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,146000.0
15,15,Data Scientist,$111K-$181K ,3.0,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,146000.0
16,16,"Data Scientist, Analytics",$111K-$181K ,3.6,Etsy,"Brooklyn, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,146000.0
17,17,Data Scientist/ML Engineer,$111K-$181K ,3.3,PA Consulting,"New York, NY","London, United Kingdom",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,146000.0
18,18,Data Scientist,$111K-$181K ,3.6,Etsy,"New York, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,146000.0
19,19,"VP, Data Science",$111K-$181K ,3.9,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,146000.0
20,20,"Data Scientist, Disney+ Personalization",$111K-$181K ,4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,146000.0
21,21,"Senior Data Scientist, Data Science Operations",$111K-$181K ,3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,146000.0
22,22,Quantitative Researcher – Intern (US),$111K-$181K ,4.1,Citadel Securities,"New York, NY","Chicago, IL",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,146000.0
23,23,Senior Data Engineer (Healthcare Domain experience required),$111K-$181K ,3.4,Enterprise Integration,"New York, NY","Jacksonville, FL",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,146000.0
24,24,Data Scientist,$111K-$181K ,4.4,WITHIN,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,146000.0
25,25,"Data Scientist, Marketplace Economics",$111K-$181K ,3.8,Spotify,"New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,146000.0
26,26,Data Scientist,$111K-$181K ,4.1,Datadog,"New York, NY","New York, NY",1001 to 5000 employees,2010,Company - Public,Computer Hardware & Software,Information Technology,146000.0
27,27,Lead Data Scientist,$111K-$181K ,3.3,Aetna,"New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,146000.0
28,28,"Data Scientist, Personalization",$111K-$181K ,5.0,Hungryroot,"New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,"Health, Beauty, & Fitness",Consumer Services,146000.0
29,29,Principal Data Scientist,$111K-$181K ,3.3,Aetna,"New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,146000.0
30,32,Data Scientist,$120K-$140K ,4.3,Caserta,"New York, NY","New York, NY",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,130000.0
31,33,"Data Scientist, Decisions",$120K-$140K ,3.7,Lyft,"New York, NY","San Francisco, CA",5001 to 10000 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,130000.0
32,34,Data Scientist,$120K-$140K ,4.3,IBG LLC,"New York, NY","Memphis, TN",201 to 500 employees,1990,Company - Private,Brokerage Services,Finance,130000.0
33,35,Data Scientist,$120K-$140K ,3.0,CLEAR,"New York, NY","New York, NY",1001 to 5000 employees,2010,Company - Private,Security Services,Business Services,130000.0
34,36,Data Science Analyst,$120K-$140K ,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,130000.0
35,37,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$120K-$140K ,3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,130000.0
36,38,Data Scientist,$120K-$140K ,3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,NA,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",130000.0
37,39,Data Scientist,$120K-$140K ,4.2,infarm,"New York, NY","Berlin, Germany",501 to 1000 employees,2013,Company - Private,Food & Beverage Stores,Retail,130000.0
38,40,Data Scientist for Alpha Insights,$120K-$140K ,3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,NA,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",130000.0
39,41,"Data Scientist, Analytics",$120K-$140K ,4.6,Bowery Farming,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Food Production,Agriculture & Forestry,130000.0
40,42,Data Scientist,$120K-$140K ,4.3,NorthOne,"New York, NY","New York, NY",1 to 50 employees,NA,Company - Private,Not Specified,Not Specified,130000.0
41,43,Quantitative Researcher / Quantitative Research Analyst,$120K-$140K ,4.1,Citadel Securities,"New York, NY","Chicago, IL",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,130000.0
42,44,Technical Data Consultant,$120K-$140K ,4.3,Braze,"New York, NY","New York, NY",501 to 1000 employees,2011,Company - Private,Advertising & Marketing,Business Services,130000.0
43,45,"Data Scientist, Instagram - Well-being, Trust",$120K-$140K ,4.5,Facebook,"New York, NY","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,130000.0
44,46,Data Science Analyst,$120K-$140K ,NA,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,NA,Company - Public,Not Specified,Not Specified,130000.0
45,47,"Data Scientist, Decisions",$120K-$140K ,3.9,Crisis Text Line,"New York, NY","New York, NY",51 to 200 employees,2013,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,130000.0
46,48,Data Scientist,$120K-$140K ,3.4,Casper,"New York, NY","New York, NY",501 to 1000 employees,2014,Company - Public,Home Furniture & Housewares Stores,Retail,130000.0
47,49,Data Scientist/Lead Data Scientist,$120K-$140K ,4.7,BlueLabs,"New York, NY","Washington, DC",1 to 50 employees,NA,Company - Private,Research & Development,Business Services,130000.0
48,50,Quantitative Research Analyst,$120K-$140K ,3.6,Tower Research Capital,"New York, NY","New York, NY",501 to 1000 employees,1998,Company - Private,Financial Analytics & Research,Finance,130000.0
